,Snapshotdt,ApplicationID,UPB,DPD,BKRepo_Flag,NextPaymentDate,RemainingTerm,MaturityDate,NumberOfExtensions,NumberOfPayments,FundingDate,OriginalRate,CurrentRate,OriginalPayment,CurrentPayment,PTICore,DTICore,Make,Model,ModelYr,BookValue,LTVCore,OriginalAmtFinanced,OriginalTerm,BookNewUsed,BookMileage,HighFico,BookTier,FirstPaymentDate,LastPmtDate,lastExtensionDate,ChargeoffDate,MOB,DPDBucket,MOB_Lag1,UPB_Lag1,DPD_Lag1,DPDBucket_Lag1,LoanStatus,LoanStatus2,LoanStatus2_Lag1,Vintage_M,Vintage_Q,PrepayBal,DefaultBal,DQBal
0,2020-01-31,10000318,17891.96,0.0,None,2020-02-25,72.0,2026-01-25,0.0,0.0,2020-01-22,0.1678,0.1678,398.6,398.6,0.1643,0.5391,NISSAN,ALTIMA      ,19.0,19195.0,0.9321156551185203,17891.96,72.0,New,19.0,567.0,Tier 8,2020-02-25,43841,,,1,0,,,,,Current,Current,,2020-1,2020-Q1,,,0.0
19,2020-01-31,10000453,24726.1,0.0,None,2020-02-10,72.0,2026-01-10,0.0,0.0,2020-01-22,0.2121,0.2121,609.73,609.73,0.1328,0.3902,LEXUS,ES          ,14.0,17275.0,1.431322720694645,24726.1,72.0,Used,58499.0,615.0,Tier 5,2020-02-10,43841,,,1,0,,,,,Current,Current,,2020-1,2020-Q1,,,0.0
55,2020-01-31,10000491,14496.99,0.0,None,2020-02-25,72.0,2026-01-25,0.0,0.0,2020-01-23,0.1932,0.1932,344.08,344.08,0.1328,0.3111,TOYOTA,YARIS IA    ,17.0,10922.0,1.32732008789599,14496.99,72.0,Used,33881.0,737.0,Tier 5,2020-02-25,43841,,,1,0,,,,,Current,Current,,2020-1,2020-Q1,,,0.0
91,2020-01-31,10000998,17788.71,0.0,None,2020-02-25,72.0,2026-01-25,0.0,0.0,2020-01-23,0.1153,0.1153,345.07,345.07,0.0561,0.4739,VOLKSWAG,PASSAT      ,16.0,11955.0,1.487972396486825,17788.71,72.0,Used,31393.0,635.0,Tier -,2020-02-25,43841,,,1,0,,,,,Current,Current,,2020-1,2020-Q1,,,0.0
112,2020-01-31,10001791,19698.32,0.0,None,2020-02-23,72.0,2026-01-23,0.0,0.0,2020-01-27,0.1506,0.1506,416.99,416.99,0.0979,0.3796,FORD,MUSTANG     ,17.0,15900.0,1.238888050314465,19698.32,72.0,Used,50412.0,612.0,Tier 6,2020-02-23,43854,,,1,0,,,,,Current,Current,,2020-1,2020-Q1,,,0.0
129,2020-01-31,10002424,35072.0,0.0,None,2020-03-03,72.0,2026-02-03,0.0,0.0,2020-01-21,0.1633,0.1633,772.03,772.03,0.101,0.281,KIA,SORENTO     ,20.0,32734.0,1.071424207246288,35072.0,72.0,New,1.0,586.0,Tier 5,2020-03-03,43848,,,1,0,,,,,Current,Current,,2020-1,2020-Q1,,,0.0
146,2020-01-31,10003253,19198.84,0.0,None,2020-02-25,72.0,2026-01-25,0.0,0.0,2020-01-21,0.1832,0.1832,444.46,444.46,0.0835,0.2787,JEEP,WRANGLER    ,11.0,16547.0,1.160261074515018,19198.84,72.0,Used,114460.0,545.0,Tier 5,2020-02-25,43841,,,1,0,,,,,Current,Current,,2020-1,2020-Q1,,,0.0
182,2020-01-31,10003286,16636.2,0.0,None,2020-03-03,72.0,2026-02-03,0.0,0.0,2020-01-25,0.1958,0.1958,397.61,397.61,0.109,0.3723,HYUNDAI,ELANTRA     ,17.0,11702.0,1.421654418048197,16636.2,72.0,Used,19468.0,549.0,Tier 3,2020-03-03,43848,,,1,0,,,,,Current,Current,,2020-1,2020-Q1,,,0.0
200,2020-01-31,10003792,12804.08,0.0,None,2020-03-03,60.0,2025-02-03,0.0,0.0,2020-01-24,0.1674,0.1674,318.48,318.48,0.069,0.3779,CHEVROLE,EQUINOX     ,15.0,8621.0,1.485219812086765,12804.08,60.0,Used,95687.0,614.0,Tier 4,2020-03-03,43848,,,1,0,,,,,Current,Current,,2020-1,2020-Q1,,,0.0
236,2020-01-31,10003928,23148.0,0.0,None,2020-03-02,72.0,2026-02-02,0.0,0.0,2020-01-21,0.1949,0.1949,552.08,552.08,0.1577,0.3093,MERCEDES,CLA         ,16.0,16186.0,1.430124799209193,23148.0,72.0,Used,61534.0,629.0,Tier 2,2020-03-02,43847,,,1,0,,,,,Current,Current,,2020-1,2020-Q1,,,0.0
